compound,modifier,head,frequency_class,level
Weißwurstfrühstück,Weißwurst,Frühstück,nan,2
Weltfußballverband,Welt,Fußballverband,18.0,2
Weltjahresbestleistung,Welt,Jahresbestleistung,19.0,2
Weltjahresbestzeit,Welt,Jahresbestzeit,19.0,2
Weltkulturerbeliste,Weltkulturerbe,Liste,nan,2
Weltmarktanteil,Weltmarkt,Anteil,17.0,2
Weltranglistendritte,Weltrangliste,Dritte,nan,2
Weltranglistenplatz,Weltrang,Listenplatz,19.0,2
Weltranglistenposition,Weltrangliste,Position,20.0,2
Weltranglistenpunkt,Weltrangliste,Punkt,18.0,2
Weltranglistenspitze,Weltrangliste,Spitze,nan,2
Weltraumbahnhof,Weltraum,Bahnhof,17.0,2
Weltraumfahrzeug,Weltraum,Fahrzeug,23.0,2
Weltraumzeitalter,Weltraum,Zeitalter,nan,2
Weltumwelttag,Welt,Umwelttag,nan,2
Weltuntergangsstimmung,Weltuntergang,Stimmung,19.0,2
Werkschutzfachkraft,Werkschutz,Fachkraft,nan,2
Werkzeugmaschinenbau,Werkzeugmaschine,Bau,19.0,2
Werkzeugmaschinenfabrik,Werkzeugmaschine,Fabrik,20.0,2
Werkzeugmaschinenhersteller,Werkzeugmaschine,Hersteller,20.0,2
Werkzeugmaschinenindustrie,Werkzeugmaschine,Industrie,21.0,2
Wertpapierhandelsbank,Wertpapier,Handelsbank,20.0,2
Wertpapierhandelsgesetz,Wertpapierhandel,Gesetz,19.0,2
Wertpapierhandelsunternehmen,Wertpapier,Handelsunternehmen,nan,2
Wertstoffkreislauf,Wertstoff,Kreislauf,22.0,2
Wettbewerbsfahrzeug,Wettbewerb,Fahrzeug,nan,2
Wettbewerbsumfeld,Wettbewerb,Umfeld,20.0,2
Wettbewerbsvorteil,Wettbewerb,Vorteil,16.0,2
Wettkampfsportart,Wettkampf,Sportart,22.0,2
Wirtschaftsnobelpreisträger,Wirtschaftsnobelpreis,Träger,20.0,2
Wochenendfreizeit,Wochenende,Freizeit,20.0,2
Wochenendgrundstück,Wochenende,Grundstück,21.0,2
Wochenendlehrgang,Wochenende,Lehrgang,21.0,2
Wohnumfeldverbesserung,Wohnumfeld,Verbesserung,20.0,2
Wohnwagenvorzelt,Wohnwagen,Vorzelt,nan,2
Wohnzimmeratmosphäre,Wohnzimmer,Atmosphäre,20.0,2
Wärmedämmmaßnahme,Wärme,Dämmmaßnahme,nan,2
Zahnzwischenraumbürste,Zahnzwischenraum,Bürste,nan,2
Zimmermannsbleistift,Zimmermann,Bleistift,nan,2
Zuckerrohranbau,Zuckerrohr,Anbau,22.0,2
Zuckerrübenanbau,Zuckerrübe,Anbau,21.0,2
Zweitwohnsitzsteuer,Zweitwohnsitz,Steuer,21.0,2
Ölbohrplattform,Öl,Bohrplattform,nan,2
